genNum	maxFit	avgFit	bestPhrase
670	0.81818	0.79182	H=lKo world
671	0.81818	0.78409	H=lKo world
672	0.81818	0.79636	H=lzo world
673	0.81818	0.78091	H=lKo world
674	0.81818	0.77364	H=lKo world
675	0.81818	0.76909	H=lKo world
676	0.81818	0.75091	H=lKo world
677	0.81818	0.77227	H=l[o world
678	0.81818	0.79545	H=lKo world
679	0.81818	0.79227	H=lKo world
680	0.81818	0.77545	HGl/o world
681	0.81818	0.77773	H=lKo world
682	0.81818	0.79227	HGlKo world
683	0.81818	0.78136	HGl,o world
684	0.81818	0.75545	H=lKo world
685	0.81818	0.79636	HGl,o world
686	0.81818	0.79091	H)lKo world
687	0.81818	0.79409	H=l,o world
688	0.81818	0.76591	H)l,o world
689	0.81818	0.75727	H=lKo world
690	0.81818	0.76227	H=lKo world
691	0.81818	0.74136	H=l,o world
692	0.81818	0.78727	HGlso world
693	0.81818	0.78955	H)leo world
694	0.81818	0.78909	H=lso world
695	0.81818	0.79955	H=lKo world
696	0.81818	0.80682	H=lKo world
697	0.81818	0.77182	H=lKo world
698	0.81818	0.75227	H=lKo world
699	0.81818	0.79955	H=lKo world
700	0.81818	0.79318	H)lso world
701	0.81818	0.77955	H)lKo world
702	0.81818	0.80409	H=lKo world
703	0.81818	0.75318	H)lso world
704	0.81818	0.78591	H=lKo world
705	0.81818	0.79	H)lKo world
706	0.81818	0.77727	H=lKo world
707	0.81818	0.76545	H=lKo world
708	0.81818	0.73136	H=lKo world
709	0.81818	0.77682	H=lKo world
710	0.81818	0.79773	H=lKo world
711	0.81818	0.76318	H=lKo world
712	0.81818	0.76318	H=lKo world
713	0.81818	0.74591	H=lKo world
714	0.81818	0.79682	H=lKo world
715	0.90909	0.78818	Helbo world
716	0.90909	0.79318	HelKo world
717	0.90909	0.78227	HelKo world
718	0.90909	0.79	HelKo world
719	0.90909	0.78091	HelKo world
720	0.90909	0.76455	HelKo world
721	0.90909	0.80682	HelKo world
722	0.90909	0.79091	HelKo world
723	0.90909	0.775	HelKo world
724	0.90909	0.79182	HelKo world
725	0.90909	0.81136	HelKo world
726	0.90909	0.83955	HelKo world
727	0.90909	0.82591	HelKo world
728	0.90909	0.85227	HelKo world
729	0.90909	0.84318	HelKo world
730	0.90909	0.86227	HelKo world
731	0.90909	0.87227	HelKo world
732	0.90909	0.83682	HelKo world
733	0.90909	0.86591	HelKo world
734	0.90909	0.87136	HelKo world
735	0.90909	0.88273	HelKo world
736	0.90909	0.89864	HelKo world
737	0.90909	0.86818	HelKo world
738	0.90909	0.84818	HelKo world
739	0.90909	0.82364	HelKo world
740	0.90909	0.86591	HelKo world
741	0.90909	0.82545	HelKo world
742	0.90909	0.835	HelKo world
743	0.90909	0.85364	HelKo world
744	0.90909	0.83727	HelKo world
745	0.90909	0.855	HelKo world
746	0.90909	0.86409	HelKo world
747	0.90909	0.865	HelKo world
748	0.90909	0.84636	HelKo world
749	0.90909	0.87	HelKo world
750	0.90909	0.85591	HelKo world
751	0.90909	0.88455	Hel(o world
752	0.90909	0.85182	HelKo world
753	0.90909	0.82773	HelKo world
754	0.90909	0.84864	HelKo world
755	0.90909	0.83455	HelKo world
756	0.90909	0.81091	Hel(o world
757	0.90909	0.83455	HelKo world
758	0.90909	0.86636	HelKo world
759	0.90909	0.83682	HelKo world
760	0.90909	0.81364	HelKo world
761	0.90909	0.855	HelKo world
762	0.90909	0.84682	HelKo world
763	0.90909	0.85364	HelKo world
764	0.90909	0.835	HelKo world
765	0.90909	0.86273	HelKo world
766	0.90909	0.86318	HelKo world
767	0.90909	0.88045	HelKo world
768	0.90909	0.88636	HelKo world
769	0.90909	0.89	HelKo world
770	0.90909	0.84318	HelKo world
771	0.90909	0.86045	Helho world
772	0.90909	0.82	HelKo world
773	0.90909	0.84318	HelKo world
774	0.90909	0.85818	HelKo world
775	0.90909	0.85773	HelKo world
776	0.90909	0.84	HelKo world
777	0.90909	0.785	HelKo world
778	0.90909	0.85455	HelKo world
779	0.90909	0.87727	HelKo world
780	0.90909	0.84818	HelKo world
781	0.90909	0.865	HelKo world
782	0.90909	0.87955	HelKo world
783	0.90909	0.835	HelKo world
784	0.90909	0.875	HelKo world
785	0.90909	0.88364	HelKo world
786	0.90909	0.87545	HelKo world
787	0.90909	0.86591	HelKo world
788	0.90909	0.88227	HelKo world
789	0.90909	0.85136	Helho world
790	0.90909	0.88727	HelKo world
791	0.90909	0.87136	Helho world
792	0.90909	0.87682	Helho world
793	0.90909	0.85955	HelKo world
794	0.90909	0.85727	HelKo world
795	0.90909	0.89727	HelKo world
796	0.90909	0.86091	HelKo world
797	0.90909	0.83182	Helho world
798	0.90909	0.87591	HelKo world
799	0.90909	0.88045	HelKo world
800	0.90909	0.88682	Helho world
801	0.90909	0.86045	HelKo world
802	0.90909	0.87773	Helco world
803	0.90909	0.87136	HelKo world
804	0.90909	0.85227	Helho world
805	0.90909	0.86773	Helco world
806	0.90909	0.86864	HelKo world
807	0.90909	0.87727	HelKo world
808	0.90909	0.88	HelKo world
809	0.90909	0.88091	HelKo world
810	0.90909	0.88273	Helho world
811	0.90909	0.83864	Helho world
812	0.90909	0.85864	Helho world
813	0.90909	0.86545	HelKo world
814	0.90909	0.85318	HelKo world
815	0.90909	0.85091	HelKo world
816	0.90909	0.82727	HelKo world
817	0.90909	0.86727	Helho world
818	0.90909	0.85182	Helho world
819	0.90909	0.84045	HelKo world
820	0.90909	0.88909	HelKo world
821	0.90909	0.82318	Helho world
822	0.90909	0.88045	HelKo world
823	0.90909	0.86182	Helfo world
824	0.90909	0.84545	Heldo world
825	0.90909	0.86455	HelKo world
826	0.90909	0.83182	Heldo world
827	0.90909	0.86091	Helco world
828	0.90909	0.82955	HelKo world
829	0.90909	0.82773	Helco world
830	0.90909	0.87318	Helho world
831	0.90909	0.85955	HelKo world
832	0.90909	0.83909	HelKo world
833	0.90909	0.81818	HelKo world
834	0.90909	0.83409	HelKo world
835	0.90909	0.88682	HelKo world
836	0.90909	0.85182	HelKo world
837	0.90909	0.85773	HelKo world
838	0.90909	0.87773	Hel8o world
839	0.90909	0.86727	HelKo world
840	0.90909	0.87045	HelKo world
841	0.90909	0.85909	HelKo world
842	0.90909	0.84273	HelWo world
843	0.90909	0.855	HelKo world
844	0.90909	0.84318	HelKo world
845	0.90909	0.82136	HelKo world
846	0.90909	0.86409	HelKo world
847	0.90909	0.81909	Helco world
848	0.90909	0.83455	HelKo world
849	0.90909	0.84091	HelKo world
850	0.90909	0.865	HelKo world
851	0.90909	0.87545	HelKo world
852	0.90909	0.90136	HelKo world
853	0.90909	0.84591	HelKo world
854	0.90909	0.83318	HelKo world
855	0.90909	0.80773	Helco world
856	0.90909	0.83909	HelKo world
857	0.90909	0.86	HelKo world
858	0.90909	0.83318	HelKo world
